"","skim_type","skim_variable","datasetID","n_missing","complete_rate","character.min","character.max","character.empty","character.n_unique","character.whitespace","factor.ordered","factor.n_unique","factor.top_counts","numeric.mean","numeric.sd","numeric.p0","numeric.p25","numeric.p50","numeric.p75","numeric.p100","numeric.hist"
"278","numeric","southerness","6",5,0.978991596638655,NA,NA,NA,NA,NA,NA,NA,NA,0.493463651140959,0.194463299056564,0.0723325804417669,0.399018608042283,0.466138209562119,0.534206842310634,0.971351907749184,"¨y¨z¨~¨x¨y"
"279","numeric","southerness","13",2,0.989247311827957,NA,NA,NA,NA,NA,NA,NA,NA,0.375792835271341,0.166724526344335,0.0730241418625578,0.27347751894404,0.369901501781504,0.444832714649048,0.871066146466142,"¨z¨~¨}¨x¨y"
"280","numeric","southerness","26",7,0.983333333333333,NA,NA,NA,NA,NA,NA,NA,NA,0.61557149887372,0.157336563651929,0.131440124757529,0.523652725282113,0.62946316567521,0.742479193498746,0.909576841687141,"¨x¨z¨|¨~¨|"
"281","numeric","westernnes","5",1,0.995098039215686,NA,NA,NA,NA,NA,NA,NA,NA,0.510067115135814,0.0774333671948604,0.0971720595054311,0.50370679021328,0.524613251432566,0.537427968072494,0.691049916594649,"¨x¨x¨x¨~¨x"
"282","numeric","westernnes","6",5,0.978991596638655,NA,NA,NA,NA,NA,NA,NA,NA,0.409303302029611,0.118954681378984,0.0837647147087814,0.33956212325774,0.448210003412003,0.481248437979411,0.77528512195159,"¨y¨z¨~¨y¨x"
"283","numeric","westernnes","13",2,0.989247311827957,NA,NA,NA,NA,NA,NA,NA,NA,0.602027081743972,0.100741596674417,0.422146716689716,0.538933681632806,0.58696387911767,0.628315417406444,0.974777241038234,"¨z¨~¨x¨x¨x"
"284","numeric","westernnes","26",7,0.983333333333333,NA,NA,NA,NA,NA,NA,NA,NA,0.467136464414832,0.101120286292811,0.212900050893816,0.420454043213287,0.457246677503607,0.4976967994759,0.923895278088355,"¨x¨~¨y¨x¨x"
"285","numeric","rel_maxDist","5",1,0.995098039215686,NA,NA,NA,NA,NA,NA,NA,NA,0.869348069966056,0.175423281507569,0.0322843138708862,0.854552861080645,0.948251147336588,0.973999878189599,0.973999878189599,"¨x¨x¨x¨x¨~"
"286","numeric","rel_maxDist","6",5,0.978991596638655,NA,NA,NA,NA,NA,NA,NA,NA,0.776221476226473,0.29524761219143,0.0104446137286052,0.686914974062457,0.91567228808464,0.98961481129142,1,"¨x¨x¨x¨y¨~"
"287","numeric","rel_maxDist","13",2,0.989247311827957,NA,NA,NA,NA,NA,NA,NA,NA,0.498880550320174,0.254428485285364,0.00809595544622006,0.305166822431969,0.546708009060243,0.61918855917701,0.902925928260066,"¨|¨z¨|¨~¨|"
