;variable;group1;group2;n1;n2;statistic;p;p.adj;p.adj.signif
53;Hand-Wing.Index;6;26;235;417;5.464;0.000;0.000;****
54;Hand-Wing.Index;13;26;208;417;3.588;0.000;0.001;**
55;Jaccard_dissim;5;6;204;238;6.855;0.000;0.000;****
56;Jaccard_dissim;5;13;204;211;9.623;0.000;0.000;****
57;Jaccard_dissim;5;26;204;420;-1.518;0.129;0.129;ns
58;Jaccard_dissim;6;13;238;211;3.076;0.002;0.003;**
59;Jaccard_dissim;6;26;238;420;-9.659;0.000;0.000;****
60;Jaccard_dissim;13;26;211;420;-12.734;0.000;0.000;****
61;Mass;5;6;202;235;-1.967;0.049;0.098;ns
62;Mass;5;13;202;208;0.341;0.733;0.733;ns
63;Mass;5;26;202;417;1.658;0.097;0.146;ns
64;Mass;6;13;235;208;2.336;0.019;0.058;ns
65;Mass;6;26;235;417;4.056;0.000;0.000;***
66;Mass;13;26;208;417;1.277;0.202;0.242;ns
67;PC1_sd;5;6;204;236;0.995;0.320;0.320;ns
68;PC1_sd;5;13;204;211;6.176;0.000;0.000;****
69;PC1_sd;5;26;204;420;-2.316;0.021;0.025;*
70;PC1_sd;6;13;236;211;5.397;0.000;0.000;****
71;PC1_sd;6;26;236;420;-3.599;0.000;0.000;***
72;PC1_sd;13;26;211;420;-9.529;0.000;0.000;****
73;PC2_sd;5;6;204;236;-4.698;0.000;0.000;****
74;PC2_sd;5;13;204;211;3.226;0.001;0.002;**
75;PC2_sd;5;26;204;420;-2.654;0.008;0.008;**
76;PC2_sd;6;13;236;211;8.084;0.000;0.000;****
77;PC2_sd;6;26;236;420;2.737;0.006;0.007;**
78;PC2_sd;13;26;211;420;-6.438;0.000;0.000;****
79;Total_Ncells;5;6;204;238;30.130;0.000;0.000;****
80;Total_Ncells;5;13;204;211;7.130;0.000;0.000;****
81;Total_Ncells;5;26;204;420;20.678;0.000;0.000;****
82;Total_Ncells;6;13;238;211;-22.998;0.000;0.000;****
83;Total_Ncells;6;26;238;420;-13.682;0.000;0.000;****
84;Total_Ncells;13;26;211;420;12.616;0.000;0.000;****
85;Total_Ncells_samp;5;6;204;238;30.130;0.000;0.000;****
86;Total_Ncells_samp;5;13;204;211;7.130;0.000;0.000;****
87;Total_Ncells_samp;5;26;204;420;20.678;0.000;0.000;****
88;Total_Ncells_samp;6;13;238;211;-22.998;0.000;0.000;****
89;Total_Ncells_samp;6;26;238;420;-13.682;0.000;0.000;****
90;Total_Ncells_samp;13;26;211;420;12.616;0.000;0.000;****
91;Total_area_samp;5;6;204;238;7.815;0.000;0.000;****
92;Total_area_samp;5;13;204;211;15.309;0.000;0.000;****
93;Total_area_samp;5;26;204;420;30.088;0.000;0.000;****
94;Total_area_samp;6;13;238;211;8.011;0.000;0.000;****
