"","verbatimIdentification","scientificName","ScientificName2010","ScientificName2018","BirdTree","tip.label"
"405","Bubo virginianus","Bubo virginianus","Bubo virginianus","Bubo virginianus","Bubo virginianus","Bubo_virginianus"
"406","Bubo virginianus","Bubo virginianus","Bubo virginianus","Bubo virginianus","Bubo virginianus","Bubo_virginianus"
"407","Ammodramus henslowii","Passerculus henslowii","Ammodramus henslowii","Passerculus henslowii","Ammodramus henslowii","Ammodramus_henslowii"
"408","Thryothorus ludovicianus","Thryothorus ludovicianus","Thryothorus ludovicianus","Thryothorus ludovicianus","Thryothorus ludovicianus","Thryothorus_ludovicianus"
"409","Thryothorus ludovicianus","Thryothorus ludovicianus","Thryothorus ludovicianus","Thryothorus ludovicianus","Thryothorus ludovicianus","Thryothorus_ludovicianus"
"410","Lophodytes cucullatus","Lophodytes cucullatus","Lophodytes cucullatus","Lophodytes cucullatus","Lophodytes cucullatus","Lophodytes_cucullatus"
"411","Coccothraustes vespertinus","Hesperiphona vespertina","Coccothraustes vespertinus","Hesperiphona vespertina","Coccothraustes vespertinus","Coccothraustes_vespertinus"
"412","Strix varia","Strix varia","Strix varia","Strix varia","Strix varia","Strix_varia"
"413","Wilsonia canadensis","Cardellina canadensis","Wilsonia canadensis","Cardellina canadensis","Wilsonia canadensis","Wilsonia_canadensis"
"414","Haliaeetus leucocephalus","Haliaeetus leucocephalus","Haliaeetus leucocephalus","Haliaeetus leucocephalus","Haliaeetus leucocephalus","Haliaeetus_leucocephalus"
"415","Pooecetes gramineus","Pooecetes gramineus","Pooecetes gramineus","Pooecetes gramineus","Pooecetes gramineus","Pooecetes_gramineus"
"416","Spinus pinus","Spinus pinus","Carduelis pinus","Spinus pinus","Carduelis pinus","Carduelis_pinus"
"417","Bartramia longicauda","Bartramia longicauda","Bartramia longicauda","Bartramia longicauda","Bartramia longicauda","Bartramia_longicauda"
"418","Porzana carolina","Porzana carolina","Porzana carolina","Porzana carolina","Porzana carolina","Porzana_carolina"
"419","Mniotilta varia","Mniotilta varia","Mniotilta varia","Mniotilta varia","Mniotilta varia","Mniotilta_varia"
"420","Colinus virginianus","Colinus virginianus","Colinus virginianus","Colinus virginianus","Colinus virginianus","Colinus_virginianus"
"421","Polioptila caerulea","Polioptila caerulea","Polioptila caerulea","Polioptila caerulea","Polioptila caerulea","Polioptila_caerulea"
"422","Ammodramus savannarum","Ammodramus savannarum","Ammodramus savannarum","Ammodramus savannarum","Ammodramus savannarum","Ammodramus_savannarum"
"423","Eremophila alpestris","Eremophila alpestris","Eremophila alpestris","Eremophila alpestris","Eremophila alpestris","Eremophila_alpestris"
"424","Anas discors","Spatula discors","Anas discors","Spatula discors","Anas discors","Anas_discors"
"425","Cistothorus palustris","Cistothorus palustris","Cistothorus palustris","Cistothorus palustris","Cistothorus palustris","Cistothorus_palustris"
"426","Rallus limicola","Rallus limicola","Rallus limicola","Rallus limicola","Rallus limicola","Rallus_limicola"
"427","Cistothorus platensis","Cistothorus platensis","Cistothorus platensis","Cistothorus platensis","Cistothorus platensis","Cistothorus_platensis"
"428","Cistothorus platensis","Cistothorus platensis","Cistothorus platensis","Cistothorus platensis","Cistothorus platensis","Cistothorus_platensis"
